,id,text,label,label_text,Llama_405B_reason,Llama_405B_label_text,Llama_405B_label,Deepseek_V3_reason,Deepseek_V3_label_text,Deepseek_V3_label
0,cb774db0d1," I`d have responded, if I were going",1,neutral,"The text expresses a conditional intention to respond, but does not convey any strong emotion or opinion, indicating a neutral sentiment",neutral,1,The text is a conditional statement without any emotional expression or sentiment,neutral,1
1,549e992a42, Sooo SAD I will miss you here in San Diego!!!,0,negative,"The text expresses sadness about missing someone, using the phrase 'Sooo SAD' and multiple exclamation points to emphasize the negative emotion",negative,0,"The text expresses sadness about missing someone in San Diego, indicating a negative sentiment",negative,0
2,088c60f138,my boss is bullying me...,0,negative,"The text explicitly states a negative experience of being bullied by a boss, indicating a negative sentiment",negative,0,"The text explicitly states a negative experience with the boss, indicating distress or dissatisfaction, which clearly conveys a negative sentiment.",negative,0
3,9642c003ef, what interview! leave me alone,0,negative,"The text expresses frustration and annoyance, with a clear desire to be left alone, indicating a negative sentiment",negative,0,"The text expresses frustration and a desire to be left alone, indicating a negative sentiment",negative,0
4,358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,"The text contains a strong insult and expresses frustration and disappointment about a purchasing decision, indicating a negative sentiment",negative,0,"The text uses strong language and expresses frustration or anger about a situation, indicating a negative sentiment",negative,0
5,28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,neutral,"The text is promoting a website with a positive description, using the phrase 'the best Rangers forum on earth', indicating enthusiasm and a positive sentiment",positive,2,"The text promotes a forum with a positive descriptor ('the best Rangers forum on earth'), indicating an enthusiastic and favorable sentiment",positive,2
6,6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,2,positive,"The text describes a challenging situation (2am feedings) but frames it as 'fun' due to the baby's positive reactions (smiles and coos), indicating a overall positive sentiment",positive,2,"The text describes a positive experience with a baby during nighttime feedings, emphasizing the joy of smiles and coos",positive,2
7,50e14c0bb8,Soooo high,1,neutral,"The text expresses a state of being under the influence or euphoria, which is typically associated with a positive sentiment",positive,2,"The text expresses a state of being 'soooo high,' which can be interpreted as a positive or euphoric state, indicating a positive sentiment",positive,2
8,e050245fbd, Both of you,1,neutral,The text is a simple statement addressing two people without expressing any emotion or opinion,neutral,1,The text is a simple reference to two individuals without expressing any emotion or opinion,neutral,1
9,fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,positive,"The text expresses admiration and playful teasing, with a tone of lightheartedness and amusement, indicating a positive sentiment",positive,2,"The text expresses admiration and playful surprise, indicating a positive sentiment",positive,2
10,2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,neutral,"The text expresses a pessimistic outlook, mentioning 'minimal' chances and stating they will 'never' get something they want, indicating a negative sentiment, despite the initial mention of being 'hopeful'",negative,0,"The text expresses a sense of resignation and disappointment about the minimal chances of a desired outcome, indicating a negative sentiment",negative,0
11,16fab9f95b,I really really like the song Love Story by Taylor Swift,2,positive,"The text expresses strong enthusiasm and affection for the song 'Love Story' by Taylor Swift, using the phrase 'I really really like', which indicates a positive sentiment",positive,2,"The text expresses strong enthusiasm and liking for the song, indicating a positive sentiment",positive,2
